threat_type,count,share
shoot,23,0.2987012987012987
threat,21,0.2727272727272727
point,13,0.16883116883116883
attack,6,0.07792207792207792
move,5,0.06493506493506493
undetermined,3,0.03896103896103896
missing,3,0.03896103896103896
flee,2,0.025974025974025976
accident,1,0.012987012987012988
