unit,fatal_shootings,gun_involved_count,gun_involved_share,unarmed_count,unarmed_share,mental_illness_related_count,mental_illness_related_share,body_camera_count,body_camera_share
Albuquerque city,77,50,0.6493506493506493,6,0.07792207792207792,15,0.19480519480519481,15,0.19480519480519481
APD-involved in Albuquerque city,51,37,0.7254901960784313,3,0.058823529411764705,10,0.19607843137254902,11,0.21568627450980393
New Mexico,219,144,0.6575342465753424,12,0.0547945205479452,35,0.1598173515981735,39,0.1780821917808219
United States,10430,6040,0.5790987535953979,565,0.05417066155321189,2057,0.19721955896452542,1799,0.17248322147651007
