armed_with,count,share
gun,50,0.6493506493506493
knife,9,0.11688311688311688
unarmed,6,0.07792207792207792
replica,4,0.05194805194805195
missing,3,0.03896103896103896
undetermined,2,0.025974025974025976
knife;blunt_object,1,0.012987012987012988
blunt_object,1,0.012987012987012988
gun;vehicle,1,0.012987012987012988
