state_abbr,state_name,region,division,year,population,prior_2024_count,prior_3yr_avg_count,prior_3yr_avg_rate_per_1m,forecast_ridge_enhanced_lagged,forecast_rate_per_1m_ridge_enhanced_lagged,forecast_poisson_enhanced_lagged,forecast_rate_per_1m_poisson_enhanced_lagged,forecast_random_forest_enhanced_lagged,forecast_rate_per_1m_random_forest_enhanced_lagged,forecast_lag1_baseline,forecast_rate_per_1m_lag1_baseline,forecast_roll3_baseline,forecast_rate_per_1m_roll3_baseline,forecast_prev_national_rate_baseline,forecast_rate_per_1m_prev_national_rate_baseline,forecast_ensemble_top4_holdout_mae,forecast_rate_per_1m_ensemble_top4_holdout_mae
NY,New York,Northeast,Middle Atlantic,2025,20002427,27.0,23.333333,1.175686,26.315936,1.315637,17.574955,0.878641,29.885309,1.494084,27.0,1.349836,23.333333,1.166525,69.125263,3.455844,26.633645,1.331521
OH,Ohio,Midwest,East North Central,2025,11900510,45.0,37.333333,3.159961,35.702633,3.000093,22.421666,1.884093,36.685501,3.082683,45.0,3.781351,37.333333,3.13712,41.126303,3.455844,38.680367,3.250312
OK,Oklahoma,South,West South Central,2025,4123288,17.0,23.0,5.670648,28.161854,6.829951,18.984832,4.604294,25.30552,6.137219,17.0,4.122923,23.0,5.578073,14.249439,3.455844,23.366843,5.667041
OR,Oregon,West,Pacific,2025,4273586,16.0,19.0,4.467664,22.100145,5.171335,13.370842,3.128717,18.534788,4.337057,16.0,3.743928,19.0,4.445915,14.768846,3.455844,18.908733,4.424559
PA,Pennsylvania,Northeast,Middle Atlantic,2025,13059432,32.0,28.0,2.151122,27.877953,2.134699,17.502839,1.340245,26.129385,2.000806,32.0,2.450336,28.0,2.144044,45.131357,3.455844,28.501834,2.182471
RI,Rhode Island,Northeast,New England,2025,1114521,0.0,1.0,0.908916,0.0,0.0,1.03278,0.926658,2.794861,2.507679,0.0,0.0,1.0,0.897246,3.85161,3.455844,0.948715,0.851231
SC,South Carolina,South,South Atlantic,2025,5570274,21.0,21.0,3.896994,19.924935,3.577012,16.765942,3.009895,21.128859,3.793145,21.0,3.770012,21.0,3.770012,19.249997,3.455844,20.763448,3.727545
SD,South Dakota,Midwest,West North Central,2025,935094,4.0,4.666667,5.094278,2.926151,3.129259,4.447536,4.756245,5.183283,5.543061,4.0,4.277645,4.666667,4.990586,3.231539,3.455844,4.194025,4.485137
TN,Tennessee,South,East South Central,2025,7315076,36.0,34.333333,4.794853,34.957521,4.778832,26.336053,3.600243,34.365031,4.697836,36.0,4.921343,34.333333,4.693503,25.27976,3.455844,34.913971,4.772879
TX,Texas,South,West South Central,2025,31709821,144.0,129.666667,4.216683,125.560566,3.959674,153.823465,4.850972,105.615576,3.33069,144.0,4.54118,129.666667,4.089164,109.584187,3.455844,126.210702,3.980177
UT,Utah,West,Mountain,2025,3538904,18.0,16.333333,4.725969,17.507138,4.947051,12.384733,3.499596,15.080809,4.261435,18.0,5.086321,16.333333,4.615365,12.229899,3.455844,16.73032,4.727543
VA,Virginia,South,South Atlantic,2025,8880107,31.0,26.0,2.971169,26.325192,2.964513,18.063005,2.034098,29.549126,3.327564,31.0,3.490949,26.0,2.927893,30.688262,3.455844,28.218579,3.17773
VT,Vermont,Northeast,New England,2025,644663,1.0,1.333333,2.059624,0.0,0.0,1.297256,2.012301,3.478759,5.396245,1.0,1.551198,1.333333,2.068264,2.227855,3.455844,1.453023,2.253927
WA,Washington,West,Pacific,2025,8001020,32.0,31.0,3.95047,29.558035,3.694283,16.771245,2.096138,34.107907,4.262945,32.0,3.99949,31.0,3.874506,27.650275,3.455844,31.666486,3.957806
WI,Wisconsin,Midwest,East North Central,2025,5972787,19.0,17.0,2.864873,15.771393,2.640542,10.375903,1.737196,18.612361,3.116194,19.0,3.181095,17.0,2.846242,20.641019,3.455844,17.595938,2.946018
WV,West Virginia,South,South Atlantic,2025,1766147,9.0,11.666667,6.588676,9.908166,5.610046,14.281714,8.086368,12.039477,6.816803,9.0,5.095839,11.666667,6.605717,6.103528,3.455844,10.653577,6.032101
WY,Wyoming,West,Mountain,2025,588753,7.0,6.0,10.276941,7.881819,13.38731,5.787137,9.829482,7.500333,12.739354,7.0,11.889536,6.0,10.191031,2.034638,3.455844,7.095538,12.051808
