term,coef_log_rate,irr,ci_low_irr,ci_high_irr,p_value
Intercept,-12.349184751837806,4.333284528718016e-06,4.187829415162168e-06,4.483791708144297e-06,0.0
C(region)[T.South],-0.20823707426330074,0.8120145061499852,0.7762702116473172,0.8494046896360552,1.232603015540232e-19
C(region)[T.Midwest],-0.546014827904331,0.5792536421995125,0.5464778405009166,0.613995220179176,2.1592899747069016e-75
C(region)[T.Northeast],-1.2131600291513829,0.29725645463382283,0.27438115684379627,0.32203887773449996,9.375334106350213e-194
is_nm,0.8742283472256243,2.39702490921021,2.0906202124358844,2.74833677642463,5.2315019523535585e-36
year_centered,0.015664685839860186,1.0157880201874816,1.0090157121111125,1.0226057826171684,4.438814334787735e-06
