factor,variable,nm_yes,nm_no,nm_share_pct,rest_yes,rest_no,rest_share_pct,percentage_point_difference,odds_ratio,fisher_exact_p,chi_square_p
Armed with gun,armed_with_gun,147,72,67.12328767123287,6006,4205,58.818920771716776,8.304366899516102,1.4294386169386168,0.014921486761791163,0.013426684703354997
Unarmed,is_unarmed,12,207,5.47945205479452,553,9658,5.4157281363235725,0.06372391847094747,1.0124485677595199,0.8805141815730562,0.967118991131676
Mental illness-related flag,was_mental_illness_related,35,184,15.981735159817351,2022,8189,19.802174125942614,-3.8204389661252613,0.7703710273943147,0.17021036560568778,0.15975430847477862
Body camera indicated,body_camera,39,180,17.80821917808219,1760,8451,17.236313779257664,0.5719053988245265,1.040369318181818,0.7868632867188117,0.824582910993174
Armed with vehicle,armed_with_vehicle,8,211,3.65296803652968,436,9775,4.269905004407012,-0.6169369678773317,0.8500369581286142,0.8648828844462062,0.6545447029242932
Armed status unknown/undetermined,armed_unknown_or_undetermined,12,207,5.47945205479452,617,9594,6.042503182842033,-0.5630511280475127,0.901416390670143,0.8856593808042631,0.729097390443667
Race known,race_known,176,43,80.36529680365297,9066,1145,88.78660268338066,-8.421305879727703,0.5169326745981664,0.00033384135942326077,0.00010386377418752991
