year,no_body_camera_count,body_camera_count,total,body_camera_share_pct
2015,920,75,995,7.537688442211055
2016,814,145,959,15.119916579770596
2017,873,111,984,11.28048780487805
2018,867,125,992,12.600806451612904
2019,855,138,993,13.897280966767372
2020,840,181,1021,17.72771792360431
2021,825,225,1050,21.428571428571427
2022,888,209,1097,19.051959890610757
2023,811,353,1164,30.326460481099655
2024,938,237,1175,20.170212765957444
