race_label,count,share
Hispanic,40,0.5194805194805194
White,15,0.19480519480519481
Unknown,12,0.15584415584415584
Black,3,0.03896103896103896
White; Hispanic,2,0.025974025974025976
Native American,2,0.025974025974025976
Asian heritage,1,0.012987012987012988
Black; Hispanic,1,0.012987012987012988
Other,1,0.012987012987012988
