term,coef_log_rate,irr,ci_low_irr,ci_high_irr,p_value
Intercept,-12.211526211403871,4.972806389103623e-06,4.631535077940543e-06,5.339224029909693e-06,0.0
C(region)[T.South],-0.28455946978688945,0.7523456123003422,0.6870878822047409,0.8238013433322509,7.903427167380227e-10
C(region)[T.Midwest],-0.6387556341366992,0.52794897714692,0.4763838915868326,0.5850956075404445,3.911220786753574e-34
C(region)[T.Northeast],-1.299523943680836,0.2726615644030489,0.24013013558057236,0.30960016127493817,2.1296281564573445e-89
is_nm,0.7348545100872189,2.085178597982788,1.652586553544225,2.6310088123133877,5.849017581324732e-10
year_centered,0.019962333995435424,1.0201629138421104,1.0077412434518254,1.0327376968456656,0.0014047170780956293
alpha,0.08178778532705482,1.0852254846199285,1.0648929675672212,1.105946220265762,2.3409122294575596e-17
