model_id,formula,n_obs,log_likelihood,aic,pseudo_r2_mcfadden,converged,nm_coef_log_rate,nm_irr,nm_irr_ci_low,nm_irr_ci_high,nm_p_value,alpha,density_irr_per_1sd,gun_share_irr_per_1sd,unique_agencies_irr_per_1sd
M0_region_year_nm,fatal_shootings ~ C(region) + is_nm + year_centered,510,-1586.4241876878718,3186.8483753757437,0.10451044975193968,True,0.7348592286403132,2.0851884370319267,1.6525937040922571,2.631022257415619,5.84792822894494e-10,0.08178791611532546,,,
M1_add_density,fatal_shootings ~ C(region) + is_nm + year_centered + log_density_z,510,-1521.139914868214,3058.279829736428,0.14136149158505207,True,0.5346994397124919,1.706935128234326,1.3942650415653046,2.0897228612497387,2.2240496904427296e-07,0.04887710945090906,0.7376857210900679,,
M2_density_agency,fatal_shootings ~ C(region) + is_nm + year_centered + log_density_z + unique_agencies_per_1m_z + sheriff_agency_share_z + local_police_agency_share_z,510,-1386.6004390984785,2795.200878196957,0.2173050479066696,True,0.10520077173576659,1.1109336320403569,0.9423076736518319,1.309735205716246,0.210392377617045,0.011479697147686645,0.9423598587321097,,1.4121120381136831
M3_density_incident_profile,fatal_shootings ~ C(region) + is_nm + year_centered + log_density_z + gun_share_z + mental_illness_share_z + bodycam_share_z,510,-1518.5133421751773,3059.0266843503546,0.142844114213877,True,0.5258147937913153,1.6918367850441114,1.3834790684377885,2.068923030733302,3.0260685281305035e-07,0.047038735952200886,0.7469651076376641,1.027754786734367,
M4_density_agency_profile,fatal_shootings ~ C(region) + is_nm + year_centered + log_density_z + unique_agencies_per_1m_z + sheriff_agency_share_z + gun_share_z + mental_illness_share_z + bodycam_share_z,510,-1388.9941214041467,2803.9882428082933,0.2159538850159527,True,0.09202907956387141,1.096396704355246,0.9298431247984108,1.2927833752404807,0.27364373258667685,0.011142226311464686,0.9519224422001088,1.0145395996696296,1.4051406796945718
M5_state_concentration,fatal_shootings ~ C(region) + is_nm + year_centered + log_density_z + top_city_share_z + top_county_share_z,510,-1519.4343097476417,3058.8686194952834,0.14232425524824865,True,0.5021324050802375,1.6522407634721594,1.3351053775846922,2.0447071716673495,3.877787613529001e-06,0.04921282615076196,0.7387023373850146,,
