agency_id,agency_name,agency_type,agency_state_abbr,agency_state_fips,agency_state_name,ori_codes,ori_code_count,agency_total_shootings_original
3263,Department of Wildlife Resources Conservation Police Department,state_other,VA,51,Virginia,VA12210,1,1
2210,Deptford Township Police Department,local_police,NJ,34,New Jersey,NJ00802,1,3
2418,DeRidder Police Department,local_police,LA,22,Louisiana,LA00601,1,1
133,Derry Police Department,local_police,NH,33,New Hampshire,NH00816,1,2
1284,Deschutes County Sheriff's Office,sheriff,OR,41,Oregon,OR00900,1,1
2004,Desert Hot Springs Police Department,local_police,CA,06,California,CA03306,1,1
115,Des Moines Police Department,local_police,IA,19,Iowa,IA07703,1,8
1694,Des Moines Police Department,local_police,WA,53,Washington,WA01717,1,1
1329,DeSoto County Sheriff's Department,sheriff,MS,28,Mississippi,MS01700,1,5
3068,DeSoto Parish Sheriff's Office,sheriff,LA,22,Louisiana,LA01600,1,1
3169,De Soto Police Department,local_police,MO,29,Missouri,MO05002,1,1
216,DeSoto Police Department,local_police,TX,48,Texas,TX05708,1,4
2715,Des Plaines Police Department,local_police,IL,17,Illinois,IL01625,1,2
615,Detroit Police Department,local_police,MI,26,Michigan,MI82349,1,29
953,Deuel County Sheriff's Department,sheriff,NE,31,Nebraska,NB02500,1,1
2234,Devils Lake Police Department,local_police,ND,38,North Dakota,ND03601,1,1
3388,Dewey Beach Police Department,local_police,DE,10,Delaware,DE00324,1,1
1505,Dewey County Sheriff's Department,sheriff,OK,40,Oklahoma,OK02200,1,1
1177,DeWitt County Sheriff's Ofifce,sheriff,IL,17,Illinois,IL02000,1,1
3057,DeWitt Police Department,local_police,NY,36,New York,NY03353,1,1
3496,Dickenson County Sheriff's Office,sheriff,VA,51,Virginia,VA02600,1,1
3104,Dickinson Police Department,local_police,ND,38,North Dakota,ND04501,1,2
798,Dickson County Sheriffs Department,sheriff,TN,47,Tennessee,TN02200,1,2
3133,Dickson Police Department,local_police,TN,47,Tennessee,TN02201,1,2
2242,Dilley Police Department,local_police,TX,48,Texas,TX08203,1,1
1047,Dillon County Sheriff's Office,sheriff,SC,45,South Carolina,SC01700,1,2
9326,Dillon Police Department,local_police,CO,08,Colorado,CO05902,1,1
2764,Dillon Police Department,local_police,MT,30,Montana,MT00101,1,1
1601,Dinuba Police Department,local_police,CA,06,California,CA05401,1,2
3455,District One District Attorney’s Task Force,local_other,OK,40,Oklahoma,,0,1
1839,Dixie County Sheriff's Office,sheriff,FL,12,Florida,FL01500,1,1
28852,Dixon Correctional Institute,local_other,LA,22,Louisiana,,0,1
3411,Doddridge County Sheriff's Office,sheriff,WV,54,West Virginia,WV00900,1,1
1401,Dodge County Sheriff's Department,sheriff,WI,55,Wisconsin,WI01400,1,1
9367,Dodge County Sheriff's Office,sheriff,GA,13,Georgia,GA04500,1,1
1341,Dolton Police Department,local_police,IL,17,Illinois,IL01627,1,4
682,Dona Ana Sheriff's Department,sheriff,NM,35,New Mexico,NM00700,1,9
9390,Donley County Sheriff's Office,sheriff,TX,48,Texas,TX06500,1,2
9392,Donna Police Department,local_police,TX,48,Texas,TX10802,1,1
3241,Doral Police Department,local_police,FL,12,Florida,FL01311,1,3
3045,Dora Police Department,local_police,AL,01,Alabama,AL06404,1,1
