model_id,term,coef,std_err,z,p_value,ci_low,ci_high,irr,irr_ci_low,irr_ci_high
M0_region_year_nm,Intercept,-12.850293936870901,0.03805561803465794,-337.67140308082514,0.0,-12.924881577628245,-12.775706296113558,2.6253563024347227e-06,2.4366617817456707e-06,2.8286632828442057e-06
M0_region_year_nm,C(region)[T.Northeast],-0.66074594314949,0.06587488352699518,-10.030316681755039,1.1215630264593995e-23,-0.7898583423481714,-0.5316335439508085,0.516465936539782,0.45390909042419203,0.5876442424993961
M0_region_year_nm,C(region)[T.South],0.35420858770555924,0.047730173051029084,7.421062297990607,1.1618464734040895e-13,0.260659167549678,0.4477580078614405,1.4250524038920913,1.2977852627142885,1.564799980538621
M0_region_year_nm,C(region)[T.West],0.6387724241112234,0.052437539028337,12.18158662568115,3.8962747754474154e-34,0.5359967361777694,0.7415481120446773,1.894154233463336,1.7091509661312108,2.0991827704186794
M0_region_year_nm,is_nm,0.7348592286403132,0.11863138042084394,6.194475913821499,5.84792822894494e-10,0.5023459955791889,0.9673724617014374,2.0851884370319267,1.6525937040922571,2.631022257415619
M0_region_year_nm,year_centered,0.019962282769593723,0.0062505770558009075,3.1936703749724256,0.0014047641667698826,0.007711376857631538,0.03221318868155591,1.020162861583408,1.0077411860983168,1.032737649816083
M0_region_year_nm,alpha,0.08178791611532546,0.009649936905142063,8.475487137303869,2.3409788177884427e-17,0.06287438732816311,0.10070144490248781,1.0852256265547022,1.0648930667663858,1.105946406531925
M1_add_density,Intercept,-12.859931181186955,0.03268857508261094,-393.407517724073,0.0,-12.923999611054805,-12.795862751319104,2.600176628548971e-06,2.4388117839636253e-06,2.77221823517035e-06
M1_add_density,C(region)[T.Northeast],-0.38022292176949873,0.062402399882801024,-6.0930817161455595,1.107574873090831e-09,-0.5025293780886553,-0.25791646545034225,0.6837089786076036,0.6049984529338754,0.7726597731973778
M1_add_density,C(region)[T.South],0.4320249937811796,0.04156065572540744,10.395047581433323,2.611565683399036e-25,0.3505676053855126,0.5134823821768466,1.5403736144410578,1.4198732476141653,1.6711004845349249
M1_add_density,C(region)[T.West],0.4892965741124653,0.04589615390106121,10.66094939386962,1.5500694412228768e-26,0.39934176543747785,0.5792513827874528,1.6311684102164905,1.4908430501766468,1.7847018719864114
M1_add_density,is_nm,0.5346994397124919,0.10323251692117094,5.179564110800399,2.2240496904427296e-07,0.33236742451357515,0.7370314549114086,1.706935128234326,1.3942650415653046,2.0897228612497387
M1_add_density,year_centered,0.01974871931249398,0.0053371568292586245,3.700232154361715,0.00021540232245422926,0.009288084147305085,0.030209354477682873,1.01994501533871,1.0093313522563987,1.0306702868078736
M1_add_density,log_density_z,-0.3042373972639356,0.024601719854088253,-12.366509295624638,3.966894509200694e-35,-0.35245588213569257,-0.25601891239217867,0.7376857210900679,0.7029595822020741,0.7741273280541787
M1_add_density,alpha,0.04887710945090906,0.00709531764945062,6.888642886156554,5.63271402946925e-12,0.03497054239911446,0.06278367650270367,1.050091296514394,1.0355892023768973,1.0647964738183526
